zip,qualified,kw_total
12210,1969,27476.25
12211,3633,63592.75
12222,30,1008.25
12235,1,33.5
12246,2,31.75
12288,58,10458.5
12302,6273,133488.5
12303,9057,110626.5
12304,5611,81628.75
12305,1014,27152
12306,8404,142327.5
12307,1654,17949.75
12308,3322,48864
12309,7907,105076.25
12401,9477,182653.25
12411,127,1033.25
12417,54,347.5
12419,89,1278.5
12429,83,1687.75
12432,8,107
12440,145,1416
12443,861,9611.25
12449,853,23539.25
12456,139,1318.25
12466,622,6891.25
12471,50,372.25
12472,253,2108.5
12475,32,193.75
12477,862,12715
12484,5,23.5
12486,416,4084.5
12487,1224,21345.75
12498,28,303.75
12508,3875,55695
12512,16,111.5
12515,423,5752
12518,1231,15397
12520,872,9345.75
12524,3605,83552.25
12525,104,1601.25
12528,4067,63439
12533,189,2180.5
12538,3393,46790.75
12542,1042,18620.75
12547,1087,18579.5
12548,364,5016
12549,20,284.75
12550,11858,227095
12553,6282,128102
12555,3,2010.75
12561,3501,61233.75
12569,1511,20419
12572,40,303.5
12574,47,231.5
12575,220,7881.75
12577,29,351.25
12578,252,2961.75
12580,780,9839.5
12584,1,25
12586,394,5016.25
12589,701,8996.5
12590,7963,136617.25
12601,7684,150315.25
12603,10492,166690.25
12604,12,427
12801,4095,61689.5
12803,2038,29851
12804,5412,123029.25
12827,20,774.5
12828,1519,27305.5
12831,89,1492.5
12839,2955,50090.25
12845,1109,25844.5
12901,4839,167180.75
12903,550,16562.25
12918,148,1612.75
12962,362,5058.25
13021,8390,153838.25
13024,21,2586.25
13027,8497,157984.75
13029,581,8995
13030,896,11577.25
13031,5270,87901.75
13039,6254,111531
13041,3899,47100.25
13057,5668,206355.25
13060,44,617.25
13066,3906,67104
13068,10,203.5
13073,1,8.75
13078,3017,52683.5
13082,727,8239
13084,94,1335
13088,6361,160597.25
13090,8490,177967
13104,2431,42392.5
13108,2086,32775.75
13112,59,818.75
13116,1013,11892
13120,480,6512.5
13132,18,321.25
13135,220,3546.75
13152,1496,22077.5
13164,1005,17412.25
13202,622,40562.25
13203,3076,35376
13204,4506,84128.5
13205,3580,41711
13206,5249,120536
13207,3333,27380
13208,6177,83347.75
13209,4838,117890.25
13210,3563,87595.25
13211,2007,53187.25
13212,6434,120171
13214,2319,54470.75
13215,4633,72894.5
13219,5153,69995.5
13220,16,6772.25
13224,2556,43787
13244,3,97.75
13261,1,167.5
13290,3,1970.5
13319,314,4334.5
13323,856,13960
13340,803,21738.25
13354,6,36.75
13403,1693,52612.25
13413,5651,132170.25
13417,1116,26408.5
13424,779,11470
13456,460,7960.25
13492,4110,60611.25
13495,870,13044.5
13501,9961,138716.5
13502,9937,168753.5
13504,6,3559
13601,5590,146543.5
13602,137,14697.75
13603,722,17620.75
13612,25,304.25
13616,158,3798.5
13634,26,809.25
13637,338,12774.25
13638,3,38.75
13748,24,835.5
13760,9956,162008.5
13790,4823,78408
13795,287,18895.5
13827,1,19.75
13850,2644,101206.75
13901,2432,60450.75
13903,3293,42362.75
13904,1938,50081.25
13905,5988,87346
14004,4,85.25
14026,390,7798
14031,446,9491
14032,775,13396
14043,9700,193733.25
14051,6381,89323.75
14052,3489,62074.5
14059,3797,67217
14068,1864,40507.75
14072,5910,100330.5
14075,3576,63720.25
14086,11802,189294.5
14092,3536,52038.5
14094,12551,232195.75
14120,16191,250140.75
14127,6845,167913.25
14131,137,1753.75
14132,2733,61289.75
14150,16519,314642.25
14174,7,83.75
14201,2307,31877.5
