ZIP,pop_density,urban
601,279.4505,False
602,1315.113,True
603,1657.735,True
606,149.6368,False
610,788.7339,False
612,958.6904,False
616,928.3751,False
617,1631.975,True
622,256.1458,False
623,1130.989,True
624,570.582,False
627,732.3732,False
631,413.8147,False
637,708.2073,False
638,273.8143,False
641,315.5833,False
646,1854.911,True
647,377.5166,False
650,482.8575,False
652,549.6414,False
653,821.0068,False
656,629.6664,False
659,995.1494,False
660,1484.926,True
662,957.9134,False
664,350.9193,False
667,413.997,False
669,450.074,False
670,204.8065,False
674,942.4954,False
676,773.1901,False
677,1036.006,True
678,1017.231,True
680,816.821,False
682,2248.997,True
683,624.0614,False
685,526.231,False
687,830.7965,False
688,404.5226,False
690,1976.766,True
692,1374.331,True
693,1490.708,True
694,97.58962,False
698,565.8754,False
703,949.1503,False
704,1642.256,True
705,773.6321,False
707,555.4365,False
714,1298.991,True
715,454.5189,False
716,3621.469,True
717,8463.799,True
718,586.7974,False
719,1092.305,True
720,380.4581,False
723,399.5009,False
725,2046.452,True
727,2621.346,True
728,2641.902,True
729,1573.534,True
730,5374.409,True
731,302.0232,False
735,560.4967,False
736,913.5637,False
738,1127.965,True
739,1202.329,True
740,3556.054,True
741,2333.09,True
745,1042.321,True
751,484.8754,False
754,777.0299,False
757,768.2435,False
765,472.3579,False
766,621.2619,False
767,655.8834,False
769,518.4723,False
771,1133.679,True
772,1464.832,True
773,801.9978,False
775,147.1891,False
777,1526.279,True
778,1577.578,True
780,647.8879,False
782,695.4548,False
783,839.9955,False
784,767.2513,False
786,1119.575,True
791,1374.917,True
794,856.0125,False
795,1004.115,True
901,6267.26,True
906,22925.81,True
907,14369.59,True
909,9231.652,True
911,15479.57,True
912,18132.01,True
913,24948.03,True
915,21133.53,True
917,14711.98,True
918,7765.428,True
920,6357.171,True
921,14085.52,True
923,13033.79,True
924,11641.79,True
925,15429.24,True
926,4331.265,True
927,5499.213,True
934,89.42831,False
936,4529.869,True
949,4461.185,True
950,0.0,False
951,36.11787,False
952,7559.997,True
953,2738.101,True
956,2815.295,True
957,9380.046,True
959,7510.96,True
960,2531.233,True
961,6002.114,True
962,5500.57,True
965,13004.49,True
966,4950.479,True
968,7659.656,True
969,8827.521,True
971,1823.516,True
976,3689.451,True
979,9715.444,True
982,10652.02,True
983,11356.01,True
985,4134.166,True
987,2433.017,True
1001,1523.992,True
1002,541.048,False
1003,15802.38,True
1005,117.5573,False
1007,281.8582,False
1008,21.76734,False
1009,538.0648,False
1010,106.3537,False
1011,47.6344,False
1012,41.08582,False
1013,3981.609,True
1020,2481.257,True
1022,596.9385,False
1026,43.15936,False
1027,439.1767,False
1028,1231.485,True
1029,45.24095,False
1030,947.9686,False
1031,169.1711,False
1032,51.91618,False
1033,226.553,False
1034,30.615,False
1035,230.6184,False
1036,265.5006,False
1037,55.05096,False
1038,279.4647,False
1039,93.58469,False
1040,1895.709,True
1050,65.56441,False
1053,345.3342,False
1054,87.38367,False
1056,784.7091,False
1057,194.002,False
1060,1394.878,True
1062,607.52,False
1063,14740.73,True
1066,14.08169,False
1068,86.55798,False
1069,319.8249,False
1070,27.50606,False
1071,84.60137,False
1072,72.93709,False
1073,213.9092,False
1074,2897.945,True
1075,1003.565,True
1077,312.7741,False
1079,525.6388,False
1080,1323.522,True
1081,118.6534,False
1082,226.8735,False
1083,187.5738,False
1084,16.85269,False
1085,692.4442,False
1086,18451.43,True
1088,94.80089,False
1089,1711.241,True
1092,192.6105,False
1093,60.86483,False
1094,295.7682,False
1095,641.8141,False
1096,78.71674,False
1097,18.13982,False
1098,36.64865,False
1103,5571.133,True
1104,4502.432,True
1105,9676.731,True
1106,1720.92,True
1107,7446.681,True
1108,7343.522,True
1109,5611.998,True
1118,4019.79,True
1119,3737.812,True
1128,2236.471,True
1129,2154.529,True
1151,3815.555,True
1199,0.0,False
1201,856.5641,False
1220,341.2281,False
1222,245.5285,False
1223,32.88849,False
1224,496.0651,False
1225,124.4301,False
1226,261.2747,False
1229,155.6197,False
1230,87.93816,False
1235,62.79218,False
1236,320.2613,False
1237,45.95354,False
1238,170.8138,False
1240,215.2935,False
1242,792.0188,False
1243,20.0522,False
1244,46.94079,False
1245,33.95297,False
1247,299.6177,False
1253,38.75913,False
1254,65.51649,False
1255,16.44593,False
1256,22.20668,False
1257,60.79727,False
1258,12.94223,False
1259,22.23038,False
1260,193.145,False
1262,102.9602,False
1264,13.46687,False
1266,54.89073,False
1267,144.5182,False
1270,24.76607,False
1301,696.9621,False
1330,42.96952,False
1331,249.7091,False
1337,69.66216,False
1338,56.7408,False
1339,25.06461,False
1340,38.16043,False
1341,47.94609,False
1342,90.61169,False
1343,9.443895,False
1344,114.3408,False
1346,23.6236,False
1347,247.6995,False
1349,140.4824,False
1350,9.700324,False
1351,105.7058,False
1354,119.227,False
1355,19.52302,False
1360,88.14459,False
1364,200.8714,False
1366,28.88221,False
1367,25.09816,False
1368,31.92999,False
1370,80.08965,False
1373,180.2489,False
1375,258.6035,False
1376,1910.828,True
1378,21.33956,False
1379,27.90832,False
1420,1334.638,True
1430,166.5243,False
1431,134.0353,False
1432,886.1644,False
1434,313.9446,False
1436,406.1656,False
1438,1020.545,True
1440,845.1835,False
1450,339.4155,False
1451,248.697,False
1452,108.9332,False
1453,1447.37,True
1460,566.4584,False
1462,416.5239,False
1463,528.8967,False
1464,495.2865,False
1467,249.0382,False
1468,173.692,False
1469,321.1401,False
1473,209.2501,False
1474,194.9747,False
1475,246.0092,False
1501,1048.986,True
